SnesAddressHex,SnesAddress,Name,Comment,UsedStatus
$008A71,35441,-,,USED
$008A78,35448,+,,USED
$008A80,35456,++,,USED
$008A8E,35470,-,,USED
$008A94,35476,+,,USED
$008A9C,35484,++,,USED
$008AB9,35513,UNREACH_008AB9,,USED
$008ABC,35516,+,,USED
$008ABD,35517,CODE_FN_008ABD,,USED
$008ACC,35532,+,,USED
$008ADF,35551,-,,USED
$008AE5,35557,-,,USED
$008AF7,35575,+,,USED
$008B21,35617,CODE_FN_008B21,,USED
$008B3E,35646,+,,USED
$008B57,35671,CODE_FN_008B57,,USED
$008B67,35687,+,,USED
$008B69,35689,CODE_FN_008B69,,USED
$008B76,35702,LOOSE_OP_008B76,,UNUSED
$008B7A,35706,+,,USED
$008B84,35716,LOOSE_OP_008B84,,UNUSED
$008B88,35720,CODE_FN_008B88,,USED
$008B95,35733,LOOSE_OP_008B95,,UNUSED
$008B99,35737,+,,USED
$008BA0,35744,CODE_FN_008BA0,,USED
$008BC7,35783,++,,USED
$008BD2,35794,+++,,USED
$008BDF,35807,++,,USED
$008BEA,35818,++++,,USED
$008BFC,35836,+,,USED
$008BFD,35837,CODE_FN_008BFD,,USED
$008C12,35858,++,,USED
$008C13,35859,+,,USED
$008C1B,35867,fn_DecompressAddress,"""ROUTINE: DecompressAddress ($008c1b)\n	expands the address stored in A.low\nparameters:\n	A => compressed address\nreturns:\n	X => ((bits 3-5 of A) * 2) + (bits 0-2 of A)\n		so values can be: $00 to $77 (with bit 3 always 0)\n	A => decompressed address\n		(((X * 2) + X) * 16) + $8000 (bottom 4 bits always 0)\n		so values can be: $8000 to $9650\nTODO: maybe rename when other address expanders are found or we figure out what this is for\n\norg $008c1b""",USED
$008C3D,35901,CODE_FN_008C3D,,USED
$008C81,35969,UNREACH_008C81,,USED
$008C83,35971,+,,USED
$008C9C,35996,++,,USED
$008CBB,36027,++,,USED
$008CC5,36037,+,,USED
$008CCD,36045,++,,USED
$008CEF,36079,-,,USED
$008D06,36102,UNREACH_008D06,,USED
$008D11,36113,+,,USED
$008D20,36128,++,,USED
$008D29,36137,CODE_FN_008D29,,USED
$008D6A,36202,++,,USED
$008D6C,36204,+,,USED
$008D8A,36234,fn_DecompressAddressUnlessFF,"""ROUTINE:  ($008d8a)\nparameters:\n	A => compressed address\n		if $ff then return $ffff\nreturns:\n	X => decompressed address\n		$ffff when A is $ff\n\norg $008d8a""",USED
$008D8E,36238,fn_DecompressAddressUnlessFF__NotFF,,USED
$008D93,36243,fn_DecompressAddressUnlessFF__IsFF,,USED
$008DA8,36264,CODE_FN_008DA8,,USED
$008DC7,36295,-,,USED
$008DDA,36314,+,,USED
$008DDF,36319,fn_CopyTilesToVRAM,"""ROUTINE: Copy tiles to VRAM ($008ddf)\n	loops Y times, writing one tile to VRAM each time\n		copies $10 bytes to vram, then copies $8 bytes as the low byte using the same high byte loaded from $00f0-$00f1\n		so if data for last $8 bytes is = $AA $BB $CC... and $00f0 = $5500, then the second part would write as $55AA $55BB $55CC...\nparameters:\n	databank => source address bank\n	X => source address offset\n	Y => number of times to loop\n	ram $00f0 => high byte (which is at $00f1) will be used as high byte for second half of copies\n$2115-$2117 should be set up with vram options and vram destination address\n\norg $008ddf""",USED
$008DE8,36328,fn_CopyTilesToVRAM__Loop,,USED
$008E54,36436,CODE_FL_008E54,,USED
$008E63,36451,-,,USED
$008EC4,36548,fn_LoadTilesAndColors,"""ROUTINE: LoadTilesAndColors ($008ec4)\n	loads tiles from $078030 ($038030 in file)\n		viewable in 2bpp, 2 dimensional, 32 blocks wide in TileMolester\n		the 8bit address translation causes this output\nTODO: what are we actually loading? overworld? city? title?\n	text and menu outline and stuff and part of title screen\nTODO: finish code/comment cleanup\nTODO: Better label name\n\norg $008ec4""",USED
$008F55,36693,fn_LoadTilesAndColors_Loop,,USED
$008FB4,36788,fn_Copy4ColorsToCGRAM,"""ROUTINE: Copy $4 colors to CGRAM ($008fb4)\nparameters:\n	A => the starting color index\n	X => source address offset\ndirect page => $2100, so the writes are to registers\nAXY => 8bit\n\norg $008fb4""",USED
$009014,36884,CODE_FN_009014,,USED
$009047,36935,+,,USED
$00905B,36955,+,,USED
$009070,36976,+,,USED
$00907E,36990,++,,USED
$009092,37010,+,,USED
$0090A3,37027,CODE_FN_0090A3,,USED
$0090AA,37034,+,,USED
$0090BC,37052,+,,USED
$0090D1,37073,UNREACH_0090D1,,USED
$0090D5,37077,++,,USED
$0090DD,37085,+,,USED
$0090EF,37103,+,,USED
$009104,37124,UNREACH_009104,,USED
$009108,37128,++,,USED
$009110,37136,+,,USED
$009111,37137,CODE_FN_009111,,USED
$00913F,37183,++,,USED
$00916E,37230,+,,USED
$009199,37273,+,,USED
$0091A4,37284,++,,USED
$0091A9,37289,CODE_FN_0091A9,,USED
$0091B2,37298,+,,USED
$0091BC,37308,+,,USED
$0091C6,37318,+,,USED
$0091D0,37328,+,,USED
$0091D4,37332,CODE_FN_0091D4,,USED
$0091ED,37357,+,,USED
$009245,37445,CODE_FN_009245,,USED
$009253,37459,CODE_FN_009253,,USED
$009264,37476,CODE_FN_009264,,USED
$009270,37488,+,,USED
$009273,37491,CODE_FN_009273,,USED
$0092A3,37539,+,,USED
$0092C2,37570,+,,USED
$0092D2,37586,+++,,USED
$0092D9,37593,++,,USED
$0092E9,37609,+,,USED
$0092F0,37616,CODE_JP_0092F0,,USED
$0092F6,37622,CODE_JP_0092F6,,USED
$0092FC,37628,CODE_FN_0092FC,,USED
$009319,37657,CODE_FL_009319,,USED
$009342,37698,CODE_FN_009342,,USED
$009352,37714,+,,USED
$009353,37715,++,,USED
$009362,37730,++,,USED
$009385,37765,++,,USED
$00938F,37775,+++,,USED
$0093A9,37801,CODE_0093A9,,USED
$0093AA,37802,UNREACH_0093AA,,USED
$0093C0,37824,UNREACH_0093C0,,USED
$0093C3,37827,++,,USED
