SnesAddressHex,SnesAddress,Name,Comment,UsedStatus
$00B4BB,46267,UNREACH_00B4BB,,USED
$00B50D,46349,CODE_00B50D,,USED
$00B51C,46364,CODE_00B51C,,USED
$00B51F,46367,CODE_00B51F,,USED
$00B52C,46380,CODE_00B52C,,USED
$00B534,46388,CODE_00B534,,USED
$00B57E,46462,CODE_00B57E,,USED
$00B592,46482,CODE_00B592,,USED
$00B5C2,46530,UNREACH_00B5C2,,USED
$00B5C9,46537,CODE_00B5C9,,USED
$00B5D4,46548,CODE_00B5D4,,USED
$00B5DB,46555,CODE_00B5DB,,USED
$00B5DF,46559,CODE_00B5DF,,USED
$00B5EF,46575,CODE_00B5EF,,USED
$00B5F3,46579,CODE_00B5F3,,USED
$00B5F5,46581,CODE_00B5F5,,USED
$00B607,46599,UNREACH_00B607,,USED
$00B60B,46603,CODE_00B60B,,USED
$00B630,46640,CODE_00B630,,USED
$00B638,46648,CODE_00B638,,USED
$00B657,46679,CODE_00B657,,USED
$00B65F,46687,CODE_00B65F,,USED
$00B667,46695,CODE_00B667,,USED
$00B674,46708,CODE_00B674,,USED
$00B679,46713,CODE_00B679,,USED
$00B68E,46734,CODE_00B68E,,USED
$00B698,46744,CODE_00B698,,USED
$00B6A4,46756,CODE_00B6A4,,USED
$00B6AB,46763,CODE_00B6AB,,USED
$00B6B1,46769,CODE_00B6B1,,USED
$00B6C9,46793,CODE_00B6C9,,USED
$00B6D5,46805,CODE_00B6D5,,USED
$00B6E7,46823,CODE_00B6E7,,USED
$00B716,46870,CODE_00B716,,USED
$00B722,46882,CODE_00B722,,USED
$00B727,46887,CODE_00B727,,USED
$00B72E,46894,CODE_00B72E,,USED
$00B76B,46955,UNREACH_00B76B,,USED
$00B770,46960,CODE_00B770,,USED
$00B788,46984,CODE_00B788,,USED
$00B78D,46989,CODE_00B78D,,USED
$00B795,46997,CODE_00B795,,USED
$00B797,46999,CODE_00B797,,USED
$00B7A7,47015,CODE_00B7A7,,USED
$00B7B0,47024,CODE_00B7B0,,USED
$00B7B5,47029,CODE_00B7B5,,USED
$00B7D2,47058,CODE_00B7D2,,USED
$00B836,47158,CODE_00B836,,USED
$00B854,47188,CODE_00B854,,USED
$00B8A4,47268,CODE_00B8A4,,USED
$00B8C2,47298,CODE_00B8C2,,USED
$00B908,47368,CODE_00B908,,USED
$00B912,47378,CODE_00B912,,USED
$00B91C,47388,CODE_00B91C,,USED
$00B926,47398,CODE_00B926,,USED
$00B930,47408,CODE_00B930,,USED
$00B944,47428,CODE_00B944,,USED
$00B949,47433,CODE_00B949,,USED
$00BA1A,47642,CODE_00BA1A,,USED
$00BA41,47681,CODE_00BA41,,USED
$00BA6D,47725,CODE_00BA6D,,USED
$00BA70,47728,CODE_00BA70,,USED
$00BAB4,47796,CODE_00BAB4,,USED
$00BAC2,47810,CODE_00BAC2,,USED
$00BAD1,47825,CODE_00BAD1,,USED
$00BAD9,47833,CODE_00BAD9,,USED
$00BADF,47839,CODE_00BADF,,USED
$00BAF0,47856,CODE_00BAF0,,USED
$00BC49,48201,CODE_00BC49,,USED
$00BC9C,48284,CODE_00BC9C,,USED
$00BCA5,48293,CODE_00BCA5,,USED
$00BCCB,48331,CODE_00BCCB,,USED
$00BCCE,48334,CODE_00BCCE,,USED
$00BCF4,48372,CODE_00BCF4,,USED
$00BD2A,48426,CODE_00BD2A,,USED
$00BD30,48432,CODE_00BD30,,USED
$00BD64,48484,CODE_00BD64,,USED
$00BD81,48513,CODE_00BD81,,USED
$00BDB9,48569,CODE_00BDB9,,USED
$00BDCD,48589,CODE_00BDCD,,USED
$00BDE4,48612,CODE_00BDE4,,USED
$00BDF5,48629,CODE_00BDF5,,USED
$00BDFD,48637,CODE_00BDFD,,USED
$00BE17,48663,CODE_00BE17,,USED
$00BE2A,48682,CODE_00BE2A,,USED
$00BE53,48723,UNREACH_00BE53,,USED
$00BE55,48725,UNREACH_00BE55,,USED
$00BE57,48727,UNREACH_00BE57,,USED
$00BE79,48761,UNREACH_00BE79,,USED
$00BE7B,48763,UNREACH_00BE7B,,USED
$00BE83,48771,CODE_00BE83,,USED
$00BEA9,48809,CODE_00BEA9,,USED
$00BEC0,48832,UNREACH_00BEC0,,USED
$00BEC9,48841,CODE_00BEC9,,USED
$00BED0,48848,CODE_00BED0,,USED
$00BED4,48852,CODE_00BED4,,USED
$00BED6,48854,CODE_00BED6,,USED
$00BEEA,48874,CODE_00BEEA,,USED
$00BF21,48929,CODE_00BF21,,USED
$00BF29,48937,CODE_00BF29,,USED
$00BF30,48944,CODE_00BF30,,USED
$00BF57,48983,UNREACH_00BF57,,USED
$00BF5A,48986,CODE_00BF5A,,USED
$00BF77,49015,CODE_00BF77,,USED
$00BF7F,49023,CODE_00BF7F,,USED
$00BFAE,49070,CODE_00BFAE,,USED
$00BFC0,49088,CODE_00BFC0,,USED
$00BFD5,49109,UNREACH_00BFD5,,USED
$00BFD8,49112,CODE_00BFD8,,USED
$00BFE2,49122,CODE_00BFE2,,USED
$00BFEF,49135,CODE_00BFEF,,USED
$00BFF9,49145,CODE_00BFF9,,USED
$00C00D,49165,CODE_00C00D,,USED
$00C012,49170,CODE_00C012,,USED
$00C044,49220,CODE_00C044,,USED
$00C047,49223,CODE_00C047,,USED
$00C064,49252,CODE_00C064,,USED
$00C08D,49293,CODE_00C08D,,USED
$00C095,49301,UNREACH_00C095,,USED
$00C098,49304,CODE_00C098,,USED
$00C0B2,49330,CODE_00C0B2,,USED
$00C0F4,49396,CODE_00C0F4,,USED
$00C0FF,49407,CODE_00C0FF,,USED
$00C10B,49419,CODE_00C10B,,USED
$00C11F,49439,CODE_00C11F,,USED
$00C12D,49453,CODE_00C12D,,USED
$00C134,49460,CODE_00C134,,USED
$00C138,49464,CODE_00C138,,USED
$00C13B,49467,CODE_00C13B,,USED
$00C16C,49516,CODE_00C16C,,USED
$00C16F,49519,CODE_00C16F,,USED
$00C186,49542,CODE_00C186,,USED
$00C189,49545,CODE_00C189,,USED
$00C18D,49549,CODE_00C18D,,USED
$00C1AD,49581,CODE_00C1AD,,USED
$00C1B1,49585,CODE_00C1B1,,USED
$00C352,50002,CODE_00C352,,USED
$00C364,50020,CODE_00C364,,USED
$00C36A,50026,CODE_00C36A,,USED
$00C39D,50077,CODE_00C39D,,USED
$00C3BD,50109,CODE_00C3BD,,USED
$00C453,50259,CODE_00C453,,USED
$00C473,50291,UNREACH_00C473,,USED
$00C494,50324,CODE_00C494,,USED
$00C4A7,50343,CODE_00C4A7,,USED
$00C4C1,50369,CODE_00C4C1,,USED
$00C4D2,50386,CODE_00C4D2,,USED
$00C4DB,50395,CODE_00C4DB,,USED
$00C54B,50507,CODE_00C54B,,USED
$00C54F,50511,CODE_00C54F,,USED
$00C561,50529,CODE_00C561,,USED
$00C576,50550,CODE_00C576,,USED
$00C58B,50571,CODE_00C58B,,USED
$00C5A0,50592,CODE_00C5A0,,USED
$00C5B5,50613,CODE_00C5B5,,USED
$00C5CF,50639,CODE_00C5CF,,USED
$00C5E4,50660,CODE_00C5E4,,USED
$00C5F5,50677,CODE_00C5F5,,USED
$00C604,50692,CODE_00C604,,USED
$00C607,50695,CODE_00C607,,USED
$00C618,50712,CODE_00C618,,USED
$00C623,50723,CODE_00C623,,USED
$00C62C,50732,CODE_00C62C,,USED
$00C630,50736,CODE_00C630,,USED
$00C65A,50778,CODE_00C65A,,USED
$00C729,50985,CODE_00C729,,USED
$00C73E,51006,CODE_00C73E,,USED
$00C75B,51035,CODE_00C75B,,USED
$00C764,51044,CODE_00C764,,USED
$00C784,51076,UNREACH_00C784,,USED
$00C786,51078,CODE_00C786,,USED
$00C78A,51082,CODE_00C78A,,USED
$00C78D,51085,CODE_00C78D,,USED
$00C795,51093,CODE_00C795,,USED
$00C7A8,51112,CODE_00C7A8,,USED
$00C7B6,51126,CODE_00C7B6,,USED
$00C7B8,51128,CODE_00C7B8,,USED
$00C7C1,51137,CODE_00C7C1,,USED
$00C7CF,51151,CODE_00C7CF,,USED
$00C7DE,51166,CODE_00C7DE,,USED
$00C7F0,51184,CODE_00C7F0,,USED
$00C7F8,51192,CODE_00C7F8,,USED
$00C88D,51341,CODE_00C88D,,USED
